,PC-1,PC-2,target
0,0.36578455828080514,0.6949757983535662,Iris-setosa
1,-0.5286244586039522,0.2013825919459016,Iris-setosa
2,-0.26257339990813705,0.06253942967559332,Iris-setosa
3,-0.27125081060636314,0.062029103308288584,Iris-setosa
4,0.1494282907428414,0.22530609303780613,Iris-setosa
5,0.023684448761526346,-0.06229691514127845,Iris-setosa
6,0.029522879896842734,-0.017451739437791908,Iris-setosa
7,0.2988442532338793,0.560231826318349,Iris-setosa
8,0.014750993432809828,-0.059231836564126186,Iris-setosa
9,-0.7804485513837711,0.32996276008318615,Iris-setosa
10,0.03555006939296495,-0.06352522131543163,Iris-setosa
11,0.11570244968927751,0.15711740533791224,Iris-setosa
12,-0.4774575920961333,0.1798016754067803,Iris-setosa
13,0.016159584647076605,-0.06202663422469545,Iris-setosa
14,0.018661054578011142,-0.04774877809582463,Iris-setosa
15,0.018578626359821854,-0.04749953761940592,Iris-setosa
16,0.02317447576644521,-0.0608776649211924,Iris-setosa
17,0.34757868999080116,0.6537950342765803,Iris-setosa
18,0.01965980280427357,-0.05021377556073192,Iris-setosa
19,0.039117675963879786,-0.0881991906864106,Iris-setosa
20,0.0886833710545954,0.09176813401116812,Iris-setosa
21,0.042601740660978715,-0.0459593157340439,Iris-setosa
22,0.020237437939686815,-0.04445657150010099,Iris-setosa
23,0.04513447403315394,0.007333550388830494,Iris-setosa
24,0.07839134917461946,0.07379529867929559,Iris-setosa
25,-0.3907546269428692,0.1425843199682619,Iris-setosa
26,0.17032023617924505,0.2698649119324366,Iris-setosa
27,0.307370866081841,0.5694294801529637,Iris-setosa
28,0.2842430681130654,0.5254672494543311,Iris-setosa
29,-0.2886070895394807,0.07670567330374901,Iris-setosa
30,-0.6543366285831377,0.25599242246548337,Iris-setosa
31,0.063378267834905,0.03771530233942054,Iris-setosa
32,0.018840325048404393,-0.0482817232293889,Iris-setosa
33,0.01887392178809572,-0.04838292993262645,Iris-setosa
34,-0.7804485513837712,0.32996276008318615,Iris-setosa
35,-0.1408997554993585,0.07909413421784173,Iris-setosa
36,0.049026634130115467,0.009397144834924289,Iris-setosa
